datetime,site_name,pm25_value
2025-07-14 22:00:00+00:00,Arepo (Ogun State),35.45
2025-07-14 23:00:00+00:00,Arepo (Ogun State),33.72
2025-07-15 00:00:00+00:00,Arepo (Ogun State),33.49
2025-07-15 01:00:00+00:00,Arepo (Ogun State),37.61
2025-07-15 02:00:00+00:00,Arepo (Ogun State),36.64
2025-07-15 03:00:00+00:00,Arepo (Ogun State),34.71
2025-07-15 04:00:00+00:00,Arepo (Ogun State),29.66
2025-07-15 05:00:00+00:00,Arepo (Ogun State),33.14
2025-07-15 06:00:00+00:00,Arepo (Ogun State),31.62
2025-07-15 07:00:00+00:00,Arepo (Ogun State),33.27
2025-07-15 08:00:00+00:00,Arepo (Ogun State),28.93
2025-07-15 09:00:00+00:00,Arepo (Ogun State),23.81
2025-07-15 10:00:00+00:00,Arepo (Ogun State),26.41
2025-07-15 11:00:00+00:00,Arepo (Ogun State),32.29
2025-07-15 12:00:00+00:00,Arepo (Ogun State),35.22
2025-07-15 13:00:00+00:00,Arepo (Ogun State),39.82
2025-07-15 14:00:00+00:00,Arepo (Ogun State),33.56
2025-07-15 15:00:00+00:00,Arepo (Ogun State),32.46
2025-07-15 16:00:00+00:00,Arepo (Ogun State),29.36
2025-07-15 17:00:00+00:00,Arepo (Ogun State),23.22
2025-07-15 18:00:00+00:00,Arepo (Ogun State),24.17
2025-07-15 19:00:00+00:00,Arepo (Ogun State),22.5
2025-07-15 20:00:00+00:00,Arepo (Ogun State),26.03
2025-07-15 21:00:00+00:00,Arepo (Ogun State),26.47
2025-07-15 22:00:00+00:00,Arepo (Ogun State),30.6
2025-07-15 23:00:00+00:00,Arepo (Ogun State),26.96
2025-07-16 00:00:00+00:00,Arepo (Ogun State),26.03
2025-07-16 01:00:00+00:00,Arepo (Ogun State),24.08
2025-07-16 02:00:00+00:00,Arepo (Ogun State),24.91
2025-07-16 03:00:00+00:00,Arepo (Ogun State),22.04
2025-07-16 04:00:00+00:00,Arepo (Ogun State),23.29
2025-07-16 05:00:00+00:00,Arepo (Ogun State),25.61
2025-07-16 06:00:00+00:00,Arepo (Ogun State),25.57
2025-07-16 07:00:00+00:00,Arepo (Ogun State),28.48
2025-07-16 08:00:00+00:00,Arepo (Ogun State),27.34
2025-07-16 09:00:00+00:00,Arepo (Ogun State),25.16
2025-07-16 10:00:00+00:00,Arepo (Ogun State),24.23
2025-07-16 11:00:00+00:00,Arepo (Ogun State),25.41
2025-07-16 12:00:00+00:00,Arepo (Ogun State),25.82
2025-08-12 14:00:00+00:00,Arepo (Ogun State),5.16
2025-08-12 15:00:00+00:00,Arepo (Ogun State),6.14
2025-08-12 16:00:00+00:00,Arepo (Ogun State),5.67
2025-08-12 17:00:00+00:00,Arepo (Ogun State),4.74
2025-08-12 18:00:00+00:00,Arepo (Ogun State),4.59
2025-08-12 19:00:00+00:00,Arepo (Ogun State),5.33
2025-08-12 20:00:00+00:00,Arepo (Ogun State),4.95
2025-08-12 21:00:00+00:00,Arepo (Ogun State),16.01
2025-08-12 22:00:00+00:00,Arepo (Ogun State),8.13
2025-08-12 23:00:00+00:00,Arepo (Ogun State),6.47
2025-08-13 00:00:00+00:00,Arepo (Ogun State),5.28
2025-08-13 01:00:00+00:00,Arepo (Ogun State),6.65
2025-08-13 02:00:00+00:00,Arepo (Ogun State),5.67
2025-08-13 03:00:00+00:00,Arepo (Ogun State),6.8
2025-08-13 04:00:00+00:00,Arepo (Ogun State),4.89
2025-08-13 05:00:00+00:00,Arepo (Ogun State),4.29
2025-08-13 06:00:00+00:00,Arepo (Ogun State),6.56
2025-08-13 07:00:00+00:00,Arepo (Ogun State),13.63
2025-08-13 08:00:00+00:00,Arepo (Ogun State),23.59
2025-08-13 09:00:00+00:00,Arepo (Ogun State),21.6
2025-08-13 10:00:00+00:00,Arepo (Ogun State),18.92
2025-08-13 11:00:00+00:00,Arepo (Ogun State),11.09
2025-08-13 12:00:00+00:00,Arepo (Ogun State),7.2
2025-08-13 13:00:00+00:00,Arepo (Ogun State),14.31
2025-08-13 14:00:00+00:00,Arepo (Ogun State),10.48
2025-08-13 15:00:00+00:00,Arepo (Ogun State),22.11
2025-08-13 16:00:00+00:00,Arepo (Ogun State),5.14
2025-08-13 17:00:00+00:00,Arepo (Ogun State),1.24
2025-08-13 18:00:00+00:00,Arepo (Ogun State),11.13
2025-08-13 19:00:00+00:00,Arepo (Ogun State),5.12
2025-08-13 20:00:00+00:00,Arepo (Ogun State),3.96
2025-08-13 21:00:00+00:00,Arepo (Ogun State),8.22
2025-08-13 22:00:00+00:00,Arepo (Ogun State),7.28
2025-08-13 23:00:00+00:00,Arepo (Ogun State),3.42
2025-08-14 00:00:00+00:00,Arepo (Ogun State),3.12
2025-08-14 01:00:00+00:00,Arepo (Ogun State),7.36
2025-08-14 02:00:00+00:00,Arepo (Ogun State),13.46
2025-08-14 03:00:00+00:00,Arepo (Ogun State),16.07
2025-08-14 04:00:00+00:00,Arepo (Ogun State),5.8
2025-08-14 05:00:00+00:00,Arepo (Ogun State),3.79
2025-08-14 06:00:00+00:00,Arepo (Ogun State),8.98
2025-08-14 07:00:00+00:00,Arepo (Ogun State),15.25
2025-08-14 08:00:00+00:00,Arepo (Ogun State),10.3
2025-08-14 09:00:00+00:00,Arepo (Ogun State),3.41
2025-08-14 10:00:00+00:00,Arepo (Ogun State),5.67
2025-08-14 11:00:00+00:00,Arepo (Ogun State),5.21
2025-08-14 12:00:00+00:00,Arepo (Ogun State),6.22
2025-08-14 13:00:00+00:00,Arepo (Ogun State),2.59
2025-08-14 14:00:00+00:00,Arepo (Ogun State),12.69
2025-08-14 15:00:00+00:00,Arepo (Ogun State),3.69
2025-08-14 16:00:00+00:00,Arepo (Ogun State),3.14
2025-08-14 17:00:00+00:00,Arepo (Ogun State),1.48
2025-08-14 18:00:00+00:00,Arepo (Ogun State),3.16
2025-08-14 19:00:00+00:00,Arepo (Ogun State),3.3
2025-08-14 20:00:00+00:00,Arepo (Ogun State),5.15
2025-08-14 21:00:00+00:00,Arepo (Ogun State),4.03
2025-08-14 22:00:00+00:00,Arepo (Ogun State),4.39
2025-08-14 23:00:00+00:00,Arepo (Ogun State),9.75
2025-08-15 00:00:00+00:00,Arepo (Ogun State),10.21
2025-08-15 01:00:00+00:00,Arepo (Ogun State),5.36
2025-08-15 02:00:00+00:00,Arepo (Ogun State),0.98
2025-08-15 03:00:00+00:00,Arepo (Ogun State),4.85
2025-08-15 04:00:00+00:00,Arepo (Ogun State),2.23
2025-08-15 05:00:00+00:00,Arepo (Ogun State),0.8
2025-08-15 06:00:00+00:00,Arepo (Ogun State),8.55
2025-08-15 07:00:00+00:00,Arepo (Ogun State),6.56
